               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.3675,              33.217,              1.4398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070041,           0.0033287,           0.0033287
                   1,              1.7857,              4.2495,               1.083,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039909,           0.0065302,           0.0065302
                   2,              4.4608,              4.1533,              2.0365,           0.0050906,             0.28665,           0.0037286,           0.0010486,                   0,                   0,                   0,           0.0096455,           0.0095996,           0.0095996
                   3,              4.5603,              4.4255,              1.8165,             0.21706,            0.035858,            0.039859,            0.013893,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,               4.127,              3.9656,              1.6199,            0.012965,             0.35455,            0.041978,             0.01293,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,               3.686,               3.574,              1.5134,             0.41242,             0.23978,             0.24389,            0.089872,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              3.2985,              3.0955,              1.4013,             0.51587,             0.29929,              0.3212,             0.13123,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,              3.0116,              2.6752,               1.326,             0.54998,             0.43466,             0.44847,             0.20289,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              2.8018,              2.4115,              1.2707,              0.7462,             0.57552,             0.64662,             0.33042,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              2.6492,                2.21,              1.2449,             0.74251,             0.60948,             0.67815,              0.3606,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,              2.5109,              2.0564,              1.2195,             0.80158,             0.65896,             0.75175,             0.42562,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              2.3849,              1.8858,              1.1917,             0.79875,             0.67891,             0.76188,             0.43268,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,               2.328,              1.8374,              1.1812,              0.8242,             0.72163,             0.80001,             0.46711,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              2.2876,              1.7532,              1.1761,             0.85737,             0.75932,             0.84361,             0.51358,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  14,              2.2093,              1.6816,              1.1526,             0.84749,             0.75463,             0.83448,              0.4945,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  15,              2.1905,              1.6297,              1.1504,             0.87476,              0.7733,             0.86189,             0.54521,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  16,              2.0967,              1.5339,              1.1423,             0.88063,             0.78877,             0.87382,             0.55653,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  17,              2.0607,              1.4679,              1.1331,              0.8955,             0.80417,             0.88695,              0.5678,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  18,              2.0323,              1.4477,               1.124,             0.90361,             0.81548,             0.90029,             0.58197,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
